order id,order numeric id,buyer,seller,product name,product description,product category,processed date,order status,order style,order currency,sold price,quantity,subtotal,shipping price,taxes,taxes currency,credits applied,total,processed_date,model_colorway,size,official_name_x,official_colorway_x,official_name_y,official_colorway_y,official_name,official_colorway,style_code
gD2y5ZFyY2GJRzVuWYJHFu,366407520,raymone13,jamesmcm83830,Jordan mvp,Worn once like new,Sneakers,2025-05-09 05:44 (UTC),processing,direct_order,USD,$50.00,1,$50.00,$9.21,$4.88,USD,$0.00,$64.09,2025-05-10,"JORDAN Jordan MVP 678 ""Raptors""",13,,,,,Jordan MVP 678 Raptors,Black/Red-Purple,DZ4475-006
BpXHrqTqG3pCzuriLEkfen,366290775,raymone13,stewsshoes,JORDAN 4 FIRE RED 15 2012,USED OG BOX,Sneakers,2025-05-09 03:21 (UTC),processing,direct_order,USD,$169.00,1,$169.00,$9.21,$16.48,USD,$0.00,$194.69,2025-05-10,JORDAN 4 FIRE RED 15 2012,15,,,,,Jordan 4 Retro Fire Red (2012),White/Varsity Red-Black,308497-110
PTKu55jpJoJEam6ozo2Dw6,365012235,raymone13,stewsshoes,"Nike Zoom Vomero 5 ""Sea Green"" Size 14",Pre Owned Original Box,Sneakers,2025-05-08 00:29 (UTC),processing,direct_order,USD,$69.00,1,$69.00,$9.21,$6.73,USD,$0.00,$84.94,2025-05-10,"Nike Zoom Vomero 5 ""Sea Green"" Size 14",14,,,,,Nike Zoom Vomero 5 Vapor Green,Vapor Green/Vapor Green,HF5493-301
ctVeBtMaTBVzpJFrWDTXmA,364633838,raymone13,b0wzer,0218 Adidas Ultra Boost 22 Vivid Red Turbo,New w/box,Sneakers,2025-05-08 00:17 (UTC),processing,direct_offer,USD,$48.00,1,$48.00,$9.21,$4.68,USD,$0.00,$61.89,2025-05-10,adidas Ultra Boost 22 Vivid Red Turbo,9w,,,,,adidas Ultra Boost 22 Vivid Red Turbo,Vivid Red/Vivid Red/Turbo,GX5462
4897krXLPJnYkArTQcDDGP,364026187,raymone13,stewsshoes,RANDOM PULLS #110,LISTEN FOR DETAILS,Sneakers,2025-05-07 01:43 (UTC),processing,direct_order,USD,$73.00,1,$73.00,$9.21,$7.12,USD,$0.00,$89.33,2025-05-10,Adidas Yeezy Boost 350 V2 Yeezreel non-reflective 2019,14,,,,,adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),Yeezreel/Yeezreel/Yeezreel,FW5191
BwCYWHhhqFwVAXwSNYCohf,363910558,raymone13,coastalkix,Air Jordan 1 Gorge Green SIZE 14 CLEAN OG ALL,"Size 14
Used
Og all",Sneakers,2025-05-07 00:20 (UTC),processing,direct_order,USD,$110.00,1,$110.00,$9.21,$10.73,USD,$0.00,$129.94,2025-05-10,Air Jordan 1 Gorge Green SIZE 14 CLEAN OG ALL,14,,,,,Jordan 1 Retro High OG Gorge Green,Gorge Green/Metallic Silver/White,DZ5485-303
XoFCLTezjv2kDpdxyVb6WP,362452975,raymone13,ring2cagesportscards,Air Jordan 5 Retro Red Size 13,Air Jordan 5 Retro Red Size 13,Sneakers,2025-05-05 21:03 (UTC),completed,direct_offer,USD,$100.00,1,$100.00,$9.21,$9.75,USD,$0.00,$118.96,2025-05-10,Air Jordan 1 MID SE Flight Club,13,,,,,Jordan 1 Mid SE Flight Club,Magic Ember/Sundial-White-Black,DX4332-800
KXparcM3SSeteeJy8qK7Up,362356585,raymone13,gallerync,"JORDAN 7 ""VACHETTA TAN"" SIZE 13",REP BOX PREOWNED,Sneakers,2025-05-05 04:57 (UTC),completed,direct_offer,USD,$115.00,1,$115.00,$9.21,$11.22,USD,$0.00,$135.43,2025-05-10,Air Jordan 5 Retro Red Size 13,13,,,,,Jordan 5 Retro Fire Red Black Tongue (2013),White/Fire Red-Black,136027-120
mCTuxrJ2LBthfmJifeTaUu,362351167,raymone13,retrobeast85,"Jordan 6 ""nothing but net""",Clean no box,Sneakers,2025-05-05 11:06 (UTC),completed,direct_offer,USD,$80.00,1,$80.00,$9.21,$7.80,USD,$0.00,$97.01,2025-05-10,Jordan 6 Georgetown size 13 used,13,,,,,Jordan 6 Retro Georgetown (2022),Magnet/College Navy,CT8529-012
e5FzNtvZcsyYXS6MvRZBgb,362328987,raymone13,rwsbiscuitboy,8.5 WOMEN PANDA BRAND NEW #3,New,Sneakers,2025-05-05 04:09 (UTC),completed,direct_order,USD,$50.00,1,$50.00,$1.41,$4.88,USD,$0.00,$56.29,2025-05-10,"Jordan 6 ""nothing but net""",6,,,,,Jordan 1 Mule Golf Nothing But Net,White/Obsidian/Speed Yellow/University Red/Grape Ice/Blue Orbit,FJ1214-100
UN2waPutecHHm4ueKhVwj7,362159112,raymone13,bernkicks,SNEAKER MAZAL #10,,Sneakers,2025-05-05 01:30 (UTC),completed,direct_order,USD,$77.00,1,$77.00,$9.21,$7.51,USD,$0.00,$93.72,2025-05-10,"JORDAN 7 ""VACHETTA TAN"" SIZE 13",13,,,,,Jordan 7 Retro SE Vachetta Tan,Vachetta Tan/Black/Taxi/Dark Concord,DZ4729-200
2huAV7zkywPa5u3toteGoS,362126875,raymone13,robertwhi31932,Jordan 6 Georgetown size 13 used,Jordan six Georgetown used good condition size 13 no box,Sneakers,2025-05-05 11:40 (UTC),processing,direct_offer,USD,$98.00,1,$98.00,$16.46,$9.56,USD,$0.00,$124.02,2025-05-10,8.5 WOMEN PANDA BRAND NEW #3,8.5W,,,,,Louis Vuitton x Takashi Murakami Panda Pochette Accessories Monogram,Monogram,M13440
ZN4PSxSP67JBNo9CYUNh4z,362033920,raymone13,kicks95,Air Jordan 1 MID SE,New OG All,Sneakers,2025-05-05 22:13 (UTC),completed,direct_offer,USD,$65.00,1,$65.00,$9.21,$6.34,USD,$0.00,$80.55,2025-05-10,Nike Dunk Low Retro Bronzine,13,,,,,Nike Dunk Low Retro Bronzine,Bronzine/Saturn Gold/Sail/Coconut Milk,FZ4042-716
SC8AhhQ26Zi26f58YTcAyy,362026486,raymone13,boostmisha,Jordan 11 Low Pink Snakeskin Size 8.5W 7,"used, no box",Sneakers,2025-05-05 00:34 (UTC),completed,direct_offer,USD,$56.00,1,$56.00,$9.21,$5.46,USD,$0.00,$70.67,2025-05-10,Jordan 11 Low Pink Snakeskin Size 8.5W 7,8.5W,,,,,Jordan 11 Retro Low Pink Snakeskin (PS),White/Black-Pink,580522-108
Fzo55AzeBTawov3Q64zotL,361989907,raymone13,dcfsnkrs,Jordan 5 - Top 3 - Size 13M,BEATERS! - decent condition/rep box/needs cleaning/please review photos prior to purchasing,Sneakers,2025-05-04 23:16 (UTC),completed,direct_order,USD,$35.00,1,$35.00,$9.21,$3.42,USD,$0.00,$47.63,2025-05-10,Jordan 5 - Top 3 - Size 13M,13,,,,,Jordan 5 Retro Top 3,Black/Fire Red-Grape Ice-New Emerald,CZ1786-001
9LWxbMJVudULpoJXpiG8ZM,361984152,raymone13,rwsbiscuitboy,#17 SB ALLEYOOP 13 MEN NO BOX LID BRAND NEW,No Box Lid,Sneakers,2025-05-04 23:11 (UTC),completed,direct_order,USD,$31.00,1,$31.00,$0.00,$3.03,USD,$0.00,$34.03,2025-05-10,#17 SB ALLEYOOP 13 MEN NO BOX LID BRAND NEW,13,,,,,Nike Sb Alleyoop White,White/White/Black,CJ0882-100
krwqeafyftSmFtfmmueJL4,361973712,raymone13,rwsbiscuitboy,SIZE 13 MENS NO BOX LIF JORDAN BLACK GOLD,New,Sneakers,2025-05-04 23:02 (UTC),completed,direct_order,USD,$48.00,1,$48.00,$9.21,$4.68,USD,$0.00,$61.89,2025-05-10,SIZE 13 MENS NO BOX LIF JORDAN BLACK GOLD,13,,,,,Jordan 13 Retro Black Metallic Gold (GS),Black/Metallic Gold,DC9443-007
4hDQfXRWGdWHxozkarvwE9,361591196,raymone13,aftermarketnyc,RANDOM SNEAKER DEAL #197,"RANDOM SNEAKER DEALS
LISTEN FOR SIZE AND CONDITION",Sneakers,2025-05-04 16:32 (UTC),completed,direct_order,USD,$62.00,1,$62.00,$9.21,$6.05,USD,$0.00,$77.26,2025-05-10,Nike Court Legacy White,8.5W,,,,,Nike Court Legacy Next Nature White Desert Ochre,White/Desert Ochre/Black,DH3162-100
jGfUsgD3pvDrXREpWBxLZV,361575924,raymone13,zhkickz,RANDOM PULLS! #71,"Listen to host for size, condition etc!",Sneakers,2025-05-04 16:12 (UTC),completed,direct_order,USD,$61.00,1,$61.00,$9.21,$5.95,USD,$0.00,$76.16,2025-05-10,Jordan 5 Retro Fire Red 2006,12.5,,,,,Jordan 5 Retro Fire Red (2006),White/Fire-Red/Black,136027-162
Pv54qxxpN5iTuWHMJS8VRf,361557212,raymone13,zhkickz,RANDOM PULLS! #48,"Listen to host for size, condition etc!",Sneakers,2025-05-04 15:46 (UTC),completed,direct_order,USD,$65.00,1,$65.00,$9.21,$6.34,USD,$0.00,$80.55,2025-05-10,Jordan 13 Retro Cap and Gown or Cap and Gown,8,,,,,Jordan 13 Retro Cap and Gown,Black/Black,414571-012
iSHdXZnN8KnndgWcmkrFTK,361530359,raymone13,dripyard,Size 13 - Jordan 6 Retro Defining Moments 2020 DMP,"Size 13 
No box",Sneakers,2025-05-04 15:07 (UTC),completed,direct_offer,USD,$58.00,1,$58.00,$9.21,$5.66,USD,$0.00,$72.87,2025-05-10,Size 13 - Jordan 6 Retro Defining Moments 2020 DMP,13,,,,,Jordan 6 Retro DMP (2020),Black/Metallic Gold,CT4954-007
5B6Le6C7G2sEZfdUw5jdDu,361488132,raymone13,the_hype_hookup,Random shoe #1,Described on stream listen for size and condition no cancels bid responsibly,Sneakers,2025-05-04 13:44 (UTC),processing,direct_order,USD,$31.00,1,$31.00,$3.69,$3.03,USD,$0.00,$37.72,2025-05-10,Nike Revolution 5 Anthracite,8.5,,,,,Nike Revolution 5 Black/Anthracite,Black/Anthracite,BQ3204-001
hboFkT7rw8254NLAgjw8Kr,361484002,raymone13,the_hype_hookup,Af1 and gym red ones 2 pack,Af1 and gym red,Sneakers,2025-05-04 13:34 (UTC),processing,direct_order,USD,$140.00,1,$140.00,$10.86,$13.65,USD,$0.00,$164.51,2025-05-10,Af1 and gym red ones 2 pack,13,,,,,,,CODE_NA
