seller,processed date,model_colorway,size
jamesmcm83830,2025-05-09 05:44 (UTC),"JORDAN Jordan MVP 678 ""Raptors""","13,,"
stewsshoes,2025-05-09 03:21 (UTC),JORDAN 4 FIRE RED 15 2012,"15,,"
stewsshoes,2025-05-08 00:29 (UTC),"Nike Zoom Vomero 5 ""Sea Green"" Size 14","14,,"
b0wzer,2025-05-08 00:17 (UTC),adidas Ultra Boost 22 Vivid Red Turbo,"9w,,"
stewsshoes,2025-05-07 01:43 (UTC),Adidas Yeezy Boost 350 V2 Yeezreel non-reflective 2019,"14,,"
coastalkix,2025-05-07 00:20 (UTC),Air Jordan 1 Gorge Green SIZE 14 CLEAN OG ALL,"14,,"
kicks95,2025-05-05 22:13 (UTC),Air Jordan 1 MID SE Flight Club,"13,,"
ring2cagesportscards,2025-05-05 21:03 (UTC),Air Jordan 5 Retro Red Size 13,"13,,"
robertwhi31932,2025-05-05 11:40 (UTC),Jordan 6 Georgetown size 13 used,"13,,"
retrobeast85,2025-05-05 11:06 (UTC),"Jordan 6 ""nothing but net""","6,,"
gallerync,2025-05-05 04:57 (UTC),"JORDAN 7 ""VACHETTA TAN"" SIZE 13","13,,"
rwsbiscuitboy,2025-05-05 04:09 (UTC),8.5 WOMEN PANDA BRAND NEW #3,"8.5W,,"
bernkicks,2025-05-05 01:30 (UTC),Nike Dunk Low Retro Bronzine,"13,,"
boostmisha,2025-05-05 00:34 (UTC),Jordan 11 Low Pink Snakeskin Size 8.5W 7,"8.5W,,"
dcfsnkrs,2025-05-04 23:16 (UTC),Jordan 5 - Top 3 - Size 13M,"13,,"
rwsbiscuitboy,2025-05-04 23:11 (UTC),#17 SB ALLEYOOP 13 MEN NO BOX LID BRAND NEW,"13,,"
rwsbiscuitboy,2025-05-04 23:02 (UTC),SIZE 13 MENS NO BOX LIF JORDAN BLACK GOLD,"13,,"
aftermarketnyc,2025-05-04 16:32 (UTC),Nike Court Legacy White,"8.5W,,"
zhkickz,2025-05-04 16:12 (UTC),Jordan 5 Retro Fire Red 2006,"12.5,,"
zhkickz,2025-05-04 15:46 (UTC),Jordan 13 Retro Cap and Gown or Cap and Gown,"8,,"
dripyard,2025-05-04 15:07 (UTC),Size 13 - Jordan 6 Retro Defining Moments 2020 DMP,"13,,"
the_hype_hookup,2025-05-04 13:44 (UTC),Nike Revolution 5 Anthracite,"8.5,,"
the_hype_hookup,2025-05-04 13:34 (UTC),Af1 and gym red ones 2 pack,"13,,"
the_hype_hookup,2025-05-04 13:11 (UTC),Size 13 - Jordan 1 Zoom Racer Blue,"13,,"
charliecar11312,2025-05-04 06:49 (UTC),Nike Dunk Low Easter Candy,"7w,,"
soledbyivi,2025-05-04 06:06 (UTC),SB dunk low city of cinema,"15,,"
dfwsneakerfan,2025-05-04 04:39 (UTC),SIZE 14M JORDAN 4 RETRO DUNK FROM ABOVE,"14,,"
bernkicks,2025-05-04 04:19 (UTC),Nike Dunk Low Retro SE 'Tiffany Aqua Waterways' [Size 14M],"14,,"
bernkicks,2025-05-04 04:02 (UTC),Nike SB Dunk Low Pro 'Court Purple' [Size 13M],"13,,"
fragmented_soles,2025-05-04 02:25 (UTC),NIKE AIR FORCE 1 LOW MIDNIGHT NAVY - SIZE 13 PRE OWNED NO BOX,"13,,"
fragmented_soles,2025-05-04 02:08 (UTC),AIR JORDAN 4 PALE CITRON - SIZE 13 PRE OWNED NO BOX,"13,,"
fragmented_soles,2025-05-04 02:03 (UTC),AIR JORDAN 14 CHARTREUSE 2005 - SIZE 13 PRE OWNED NO BOX,"14,,"
dt_sneakz,2025-05-04 00:05 (UTC),Jordan 4 Fear size 7Y 8.5W,"7Y,,"
dt_sneakz,2025-05-03 23:38 (UTC),Dunk low red panda size 12M,"12,,"
dt_sneakz,2025-05-03 23:30 (UTC),Jordan 13 Hyper Royals Size 12,"13,,"
ayofigs,2025-05-03 22:57 (UTC),Jordan 1 Atmosphere Pink Bubble Gum (“Absolutely Perfect”),"15,,"
ayofigs,2025-05-03 22:51 (UTC),Jordan 13 Retro Chicago,"13,,"
hunnadollakicks,2025-05-03 20:58 (UTC),13M Jordan 13 Dune Red w/OG Box K488,"13,,"
hunnadollakicks,2025-05-03 20:21 (UTC),13M Jordan 5 Raging Bulls w/OG Box K496,"13,,"
hunnadollakicks,2025-05-03 20:01 (UTC),12M (2005) Air Force 1 NY Cubans MV $400+ K580,"12,,"
isellhypestuff,2025-05-03 19:51 (UTC),Nike Kyrie Infinity,"12,,"
isellhypestuff,2025-05-03 19:49 (UTC),Jordan Legacy 312 Black Metallic Gold,"7y,,"
isellhypestuff,2025-05-03 19:41 (UTC),Jordan 6 Oreo,"11.5,,"
isellhypestuff,2025-05-03 19:39 (UTC),Dunk Low Industrial Blue Sashiko,"13,,"
isellhypestuff,2025-05-03 19:25 (UTC),Nike Dunk Low Cracked Orange,"7y,,"
